,Глубина манометра,Dшт,Рзаб (ср),Pлин (ср),Руст (кон),Рлин (кон),Туст,Тзаб,Tлин,Дебит ст. конд. (ст),Дебит воды (ст),Дебит смеси (ст),Дебит газа (лин),Дебит кон нестабильный (лин),Дебит воды (лин),Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,G_total,КГФ
0,0.7621827411167518,0.1668415529905562,0.6890372452565003,0.5889943395012561,0.5736040609137056,0.7367567577245682,0.5669291338582677,0.4357965311179139,0.41454180147022784,0.1857689495874695,0.04795997302135126,0.12423952268492029,0.11988065323232823,0.16512702078521943,0.04938271604938272,0.6299982604525644,0.667219917012448,0.9880952380952379,0.43783783783783753,0.0,0.7110772749744312
1,0.7621827411167518,0.3336831059811122,0.6697118763176388,0.578658698167841,0.48223350253807107,0.7439964053981619,0.6811023622047243,0.4066462614779193,0.5697216893678737,0.26421014536512355,0.16785990557472938,0.22653334372253453,0.23538585416976116,0.2279445727482679,0.1728395061728395,0.6299982604525644,0.667219917012448,0.9880952380952379,0.4000000000000003,0.11230962474636368,0.6194591981353808
2,0.7621827411167518,0.4994753410283315,0.6433591004919185,0.58486008296789,0.38071065989847713,0.7222774623773807,0.7755905511811025,0.3483457221979302,0.6918304536152016,0.2998990306478476,0.22780987185141843,0.3306170772484891,0.3557441996336089,0.2598152424942264,0.2345679012345679,0.6299982604525644,0.667219917012448,0.9880952380952379,0.3189189189189192,0.21260884145202197,0.46298433837933933
3,0.7621827411167518,0.6663168940188876,0.6092761770906534,0.5187119784340332,0.25888324873096447,0.7029717352477975,0.797244094488189,0.26089491327794856,0.7605166335043235,0.32592217616650065,0.3956697774261478,0.4188951401723319,0.48523422389463783,0.28106235565819865,0.4074074074074074,0.6299982604525644,0.667219917012448,0.9880952380952379,0.20000000000000015,0.2988329514621383,0.3638101314917073
4,0.7621827411167518,0.8331584470094437,0.5751932536893883,0.5352490045674975,0.16751269035532995,0.7090047749757923,0.7834645669291338,0.6106981489578792,0.8571860718667914,0.35752171001057936,0.5515396897455394,0.48385200504853315,0.5636323341750424,0.3020785219399538,0.5802469135802469,0.6299982604525644,0.667219917012448,0.9880952380952379,0.22702702702702718,0.3660130647461803,0.3307520625291633
5,0.7621827411167518,0.3336831059811122,0.39494026704146157,0.6832898885165349,0.3223350253807107,0.7897268465363622,0.655511811023622,0.35417577612592993,0.5793813092257357,0.1604893225122066,0.07193995953202688,0.1737693548231366,0.17114753016124507,0.13672055427251734,0.07407407407407407,0.6299982604525644,0.5001788381742739,0.4999999999999998,0.2810810810810812,0.03607021330975981,0.43287692447487763
20,0.9568527918781726,0.1668415529905562,0.9364019676739282,0.7354800471711198,0.9035532994923858,0.7049910520290129,0.2519685039370079,0.7593645241218488,0.0,0.4328947917279718,0.14429769278178214,0.2643163434971812,0.14853691142248848,1.0,0.308641975308642,0.7898485653435137,1.0,1.0,0.7513513513513517,0.17791511157518625,1.0
21,0.9568527918781726,0.3336831059811122,0.7543921293042866,0.337896948155907,0.6700507614213198,0.5551283990437755,0.46850393700787407,0.7447893893018505,0.1482191144797863,0.39163943804465273,0.10301947189836197,0.3441434859697706,0.3701869914673796,0.4122401847575058,0.1234567901234568,0.7898485653435137,1.0,1.0,0.7675675675675677,0.23708321525006076,0.6465902801247848
22,0.9568527918781726,0.6663168940188876,0.4736472241742797,0.5079018329514383,0.3096446700507614,0.6240342757616058,0.5866141732283465,0.7302142544818543,0.488473585704817,0.43927946905291226,0.08351923312700166,0.47361505770597845,0.49705401792345394,0.4277136258660508,0.09876543209876544,0.7898485653435137,1.0,1.0,0.7405405405405407,0.36144516999892246,0.49006804688054567
23,0.9568527918781726,0.8331584470094437,0.3390723822909346,0.13738365259019095,0.1319796954314721,0.4875532941214304,0.547244094488189,0.715639119661858,0.4482687345293895,0.40713607214188724,0.05116386939972695,0.4906229077352906,0.7005990988760706,0.37274826789838333,0.04938271604938272,0.7898485653435137,1.0,1.0,0.7243243243243246,0.367267538861044,0.4046933552898005
